지역,콘도명,룸타입/평형,최근 1년간 확정금액 (min~max),공제방법,본인부담금 (min~max)
서귀포시,호텔 더본 제주,"스탠다드더블(기준2인외입실불가), 디럭스트리플(기준3인외입실불가), 디럭스패밀리(기준4인외입실불가)","120,000 ~ 300,000",급여 및 포인트,"20,000 ~ 50,000 (+ 30 ~ 50)"
서귀포시,휘닉스파크_제주,34평형(기준4인),"400,000 ~ 700,000",급여 및 포인트,"110,000 ~ 410,000 (+ 60 ~ 60)"
서귀포시,히든클리프호텔&네이쳐,"더블(기준2인외입실불가), 트윈(기준2인)","335,000 ~ 660,000",급여 및 포인트,"60,000 ~ 370,000 (+ 60 ~ 60)"
제주시,그랜드하얏트_제주,"더블(기준2인), 트윈(기준2인)","465,000 ~ 800,000",급여 및 포인트,"175,000 ~ 510,000 (+ 60 ~ 60)"
제주시,로긴리조트,"블루(기준2인외입실불가), 파키타(기준2인외입실불가), 지젤/아다지오(기준2인)","95,000 ~ 128,000",급여 및 포인트,"15,000 ~ 20,000 (+ 15 ~ 30)"
제주시,롯데시티호텔_제주,"더블(기준2인), 트윈(기준2인)","227,000 ~ 428,000",급여 및 포인트,"40,000 ~ 138,000 (+ 40 ~ 60)"
제주시,리젠트마린 더 블루 호텔,"트윈(기준2인외입실불가), 패밀리트윈(기준2인)","119,000 ~ 180,000",급여 및 포인트,"20,000 ~ 35,000 (+ 30 ~ 35)"
제주시,메종글래드호텔(구.제주그랜드),"더블(기준2인외입실불가), 트윈(기준2인외입실불가), 온돌방(기준2인)","178,000 ~ 350,000",급여 및 포인트,"35,000 ~ 60,000 (+ 35 ~ 60)"
제주시,소노벨 제주,"패밀리(기준4인), 스위트(기준5인)","144,000 ~ 310,000",현지직불,"144,000 ~ 310,000"
제주시,스탠포드호텔앤리조트_제주,"디럭스(기준2인), 프리미엄(기준2인)","250,000 ~ 450,000",급여 및 포인트,"50,000 ~ 160,000 (+ 50 ~ 60)"
제주시,신라스테이 플러스 이호테우_제주,"디럭스더블+가든뷰(기준2인외입실불가), 디럭스패밀리더블+가든뷰(기준4인외입실불가), 디럭스온돌+가든뷰(기준4인외입실불가), 디럭스벙커+오션뷰(기준4인외입실불가)","220,000 ~ 600,000",급여 및 포인트,"40,000 ~ 310,000 (+ 40 ~ 60)"
제주시,신라스테이호텔_제주,"더블(기준2인외입실불가), 트윈(기준3인외입실불가)","200,000 ~ 330,000",급여 및 포인트,"40,000 ~ 60,000 (+ 40 ~ 60)"
제주시,에코랜드호텔_제주,"스위트더블(기준2인외입실불가), 스위트트윈(기준4인외입실불가)","320,000 ~ 550,000",급여 및 포인트,"60,000 ~ 260,000 (+ 60 ~ 60)"
제주시,엠버퓨어힐 호텔&리조트,가든더블(기준2인외입실불가),"600,000 ~ 800,000",급여 및 포인트,"310,000 ~ 510,000 (+ 60 ~ 60)"
제주시,오션스위츠호텔,트윈(기준2인),"160,000 ~ 220,000",급여 및 포인트,"35,000 ~ 40,000 (+ 35 ~ 40)"
제주시,오슬로호텔,"디럭스(기준2인), 스탠다드(기준2인외입실불가), 슈페리어(기준2인)","70,000 ~ 170,000",급여 및 포인트,"15,000 ~ 35,000 (+ 15 ~ 35)"
제주시,유니호텔,"디럭스더블+바다(기준2인), 디럭스트윈+바다(기준3인), 패밀리스위트(기준4인)","250,000 ~ 640,000",급여 및 포인트,"50,000 ~ 350,000 (+ 50 ~ 60)"
제주시,캠퍼트리 호텔&리조트_제주,패밀리스위트(기준4인),"406,000 ~ 660,000",급여 및 포인트,"116,000 ~ 370,000 (+ 60 ~ 60)"
제주시,한화리조트_제주,디럭스(기준4인),"180,000 ~ 400,000",급여 및 포인트,"35,000 ~ 110,000 (+ 35 ~ 60)"
제주시,호텔휘슬락_제주,"더블(기준2인), 더블+바다(기준2인), 트윈(기준2인), 트윈+바다(기준2인), 패밀리트윈(기준2인), 패밀리트윈+바다(기준2인)","155,000 ~ 350,000",급여 및 포인트,"35,000 ~ 60,000 (+ 35 ~ 60)"
